A.C. Green,1,23,16,1985,1986,1,3.3
A.C. Green,1,23,16,1985,1987,2,7.6
A.C. Green,1,23,16,1985,1988,3,7.9
A.C. Green,1,23,16,1985,1989,4,9.4
A.C. Green,1,23,16,1985,1990,5,7.7
A.C. Green,1,23,16,1985,1991,6,6.1
A.C. Green,1,23,16,1985,1992,7,8.8
A.C. Green,1,23,16,1985,1993,8,8.6
A.C. Green,1,23,16,1985,1994,9,9.3
A.C. Green,1,23,16,1985,1995,10,6.7
A.C. Green,1,23,16,1985,1996,11,4.4
A.C. Green,1,23,16,1985,1997,12,4.8
A.C. Green,1,23,16,1985,1998,13,5.2
A.C. Green,1,23,16,1985,1999,14,1.4
A.C. Green,1,23,16,1985,2000,15,5
A.C. Green,1,23,16,1985,2001,16,3.2
A.J. Bramlett,2,39,1,1999,2000,1,-0.2
A.J. English,3,37,2,1990,1991,1,0.2
A.J. English,3,37,2,1990,1992,2,0.9
A.J. Guyton,4,32,3,2000,2001,1,0.3
A.J. Guyton,4,32,3,2000,2002,2,0.1
A.J. Guyton,4,32,3,2000,2003,3,-0.1
Aaron Brooks,5,26,8,2007,2008,1,1.4
Aaron Brooks,5,26,8,2007,2009,2,3.6
Aaron Brooks,5,26,8,2007,2010,3,5.5
Aaron Brooks,5,26,8,2007,2011,4,1.1
Aaron Brooks,5,26,8,2007,2013,6,0.8
Aaron Brooks,5,26,8,2007,2014,7,2.2
Aaron Brooks,5,26,8,2007,2015,8,3.3
Aaron Brooks,5,26,8,2007,2016,9,0.9
Aaron Gordon,6,4,2,2014,2015,1,1
Aaron Gordon,6,4,2,2014,2016,2,5.4